id,speakers,isoda,tokens,tags
0,TL,Anruf akzeptieren,hier der Teamleader,4
1,TL,Situationsfrage,die Drohne ist auch einsatzbereit?,3
2,UAV,Bestätigen,ja das ist korrekt,7
3,TL,Rufen,UGV 2 von Einsatzleiter kommen,4
4,UGV-2,Anruf akzeptieren,UGV 2 hört,5
5,TL,Situationsfrage,wie ist bei dir auch einsatzbereit?,3
6,TL,Frage,Standort Frage?,3
7,UGV-2,Bestätigen,ja wir sind auch einsatzbereit,7
8,UGV-2,Anfordern,versuchen noch den Standort rauszufinden,2
9,UGV-2,Informieren,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,TL,Bestätigen,ja Bild ist angekommen,2
11,UAV,Rufen,Einsatzleiter von UAV-Drohne,4
12,TL,Anruf akzeptieren,ja ich höre,5
13,UAV,Anfordern,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,TL,Informieren,ja startet mal und fliegt ja startet erst mal,7
15,TL,Rufen,UAV von Einsatzleiter kommen,4
16,UAV,Anruf akzeptieren,hier ist die UAV,5
17,TL,Anfordern,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,UAV,Auto-postiv,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,TL,Rufen,UGV 2 von Einsatzleiter kommen,4
20,UGV-2,Rufen,Teamleader UGV 2 gerufen?,3
21,TL,Bestätigen,ja richtig,7
22,TL,Anfordern,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,UGV-2,Auto-postiv,ja verstanden erkunden in südlicher Richtung,7
24,UGV-1,Situationsfrage,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,TL,Bestätigen,ja richtig,7
26,TL,Informieren,ihr nehmt aber die westliche Richtung,2
27,UGV-1,Auto-postiv,westliche Richtung verstanden,2
28,UGV-1,Rufen,Einsatzleiter von UGV 1 kommen,4
29,TL,Anruf akzeptieren,ja höre,5
30,UGV-1,Situationsfrage,die westliche Richtungserkundung auf dieser Ebene?,3
31,TL,Situationsfrage,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,UGV-1,Bestätigen,ja es gibt Treppen,7
33,UGV-1,Anbieten,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,TL,Bestätigen,ja richtig,7
35,UAV,Rufen,Einsatzleiter von UAV,4
36,TL,Anruf akzeptieren,ich höre,5
37,UAV,Informieren,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,TL,Auto-postiv,das ist verstanden,2
39,TL,Rufen,UAV von Einsatzleiter kommen,4
40,UAV,Anruf akzeptieren,UAV hört,5
41,TL,Anfordern,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,UAV,Anfordern,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,UGV-1,Rufen,Einsatzleiter von UGV 1,4
44,TL,Anruf akzeptieren,ich höre,5
45,UGV-1,Informieren,ich hab dir ein'n Schnappschuss erstellt,2
46,UGV-1,Situationsfrage,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,UGV-1,Antwort,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,TL,Rufen,UGV 1 von Einsatzleiter kommen,4
49,UGV-1,Anruf akzeptieren,UGV 1 hört,5
50,TL,Anfordern,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,UGV-1,Auto-postiv,weitererkunden in westlicher Richtung verstanden,7
52,TL,Rufen,UGV 2 von Einsatzleiter,4
53,UGV-2,Anruf akzeptieren,UGV 2 hört,5
54,TL,Frage,wo ist dein Standort im Moment?,3
55,UGV-2,Informieren,wir befinden uns auf einer Rampe,2
56,UGV-2,Anbieten,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,TL,Auto-postiv,ja,7
58,TL,Rufen,UAV von Einsatzleiter,4
59,UAV,Anruf akzeptieren,hier ist die UAV,5
60,UAV,Informieren,wir haben zur Zeit technische Probleme,2
61,UAV,Informieren,und können noch keine neuen Bilder senden,2
62,TL,Auto-postiv,ja verstanden,2
63,TL,Rufen,UGV 1 von Einsatzleiter,4
64,UGV-1,Anruf akzeptieren,UGV 1 hört,5
65,TL,Situationsfrage,habt ihr schon neue Erkenntnisse?,3
66,UGV-1,Ablehnen,bisher negativ,0
67,TL,Situationsfrage,ihr bewegt euch weiter in westlicher Richtung?,3
68,UGV-1,Bestätigen,das ist korrekt,7
69,TL,Rufen,UGV 2 von Einsatzleiter,4
70,UGV-2,Anruf akzeptieren,ja ich UGV 2,5
71,UGV-2,Versprechen,ich komme gleich mit 'nem neuen Bild,2
72,UAV,Rufen,Einsatzleiter von UAV,4
73,TL,Anruf akzeptieren,ich höre,5
74,UAV,Informieren,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,UAV,Anbieten,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,UAV,Anruf akzeptieren,au- aus,6
77,TL,Auto-postiv,ja verstanden,2
78,UGV-1,Rufen,ja Einsatzleiter von UGV 1 kommen,4
79,TL,Anruf akzeptieren,ich höre,5
80,UGV-1,Antwort,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,UGV-1,Anbieten,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,TL,Task akzeptieren,ja fahr mal rein,7
83,UGV-1,Auto-postiv,ja verstanden,2
84,TL,Rufen,UGV 2 von Einsatzleiter,4
85,UGV-2,Anruf akzeptieren,UGV 2 hört,5
86,TL,Situationsfrage,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,UGV-2,Informieren,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,TL,Anfordern,kannst du mir ein Bild schicken?,1
89,UGV-2,Bestätigen,ja kommt sofort,7
90,UGV-1,Rufen,Einsatzleiter von UGV 1 kommen,4
91,TL,Anruf akzeptieren,ich höre,5
92,UGV-1,Informieren,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,UGV-1,Anbieten,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,TL,Task akzeptieren,ja dann fahrt mal hoch und erkundet da weiter,7
95,UGV-1,Auto-postiv,ja ist verstanden,2
96,UAV,Rufen,Einsatzleiter von UAV,4
97,UAV,Rufen,U- UAV,6
98,TL,Anruf akzeptieren,ich höre,5
99,UAV,Informieren,also ich kann auch hier keine Glutnester erkennen,2
100,TL,Auto-postiv,ja verstanden,2
101,TL,Check Frage,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,UAV,Task akzeptieren,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,TL,Informieren,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,UAV,Anruf akzeptieren,ja,7
105,UAV,Versprechen,ich guck mal gleich wieder,2
106,UGV-2,Rufen,UGV 2 von Einsatzleiter,4
107,UGV-2,Anruf akzeptieren,UGV 2 hört,5
108,TL,Check Frage,du hattest mir gerade das Bild geschickt ja?,3
109,UGV-2,Anruf akzeptieren,ja,7
110,UGV-2,Informieren,ist schon etwas länger her,2
111,UGV-2,Informieren,wir haben massive Probleme mit der Steuerung,2
112,UGV-2,Bestätigen,ja da haben wir es gerade ein bisschen schwierig,2
