id,speakers,tokens,tags
36,TL,ich höre,5
291,TL,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
69,TL,UGV 2 von Einsatzleiter,4
278,TL,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
1733,UGV-1,ist negativ noch nicht,0
191,TL,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
336,UAV,das U- das erdgebundene,6
1848,TL,negativ,0
657,WHS,Im Lagebildsystem ist nicht kann es nicht erkannt werden kommen,0
135,UGV-1,ich korrigiere - UGV 1,6
51,UGV-1,weitererkunden in westlicher Richtung verstanden,7
247,UGV-2,negativ,0
19,TL,UGV 2 von Einsatzleiter kommen,4
58,TL,UAV von Einsatzleiter,4
1175,UGV-2,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
492,ZF,Für sie Erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,1
72,UAV,Einsatzleiter von UAV,4
1007,TL,versta- Mission,6
25,TL,ja richtig,7
17,TL,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
46,UGV-1,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
1787,UAV,negativ,0
177,UGV-1,ja das ist verstanden,7
99,UAV,also ich kann auch hier keine Glutnester erkennen,2
261,UAV,- an der - an dem Tank,6
334,UAV,ja ist negativ,0
1803,UGV-1,ja das ist negativ,0
52,TL,UGV 2 von Einsatzleiter,4
173,UGV-2,wir haben aktuell immer noch Probleme mit der Steuerung,0
441,ZF,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,1
41,TL,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
53,UGV-2,UGV 2 hört,5
27,UGV-1,westliche Richtung verstanden,2
98,TL,ich höre,5
13,UAV,sollen wir loslegen und erkunden? oder hast du noch was?,3
176,TL,schickst du mir dann auch von da mal ein Foto?,1
107,UGV-2,UGV 2 hört,5
147,TL,UGV 2 von Einsatzleiter,4
70,UGV-2,ja ich UGV 2,5
54,TL,wo ist dein Standort im Moment?,3
115,UGV-2,Einsatzleiter von UGV 2 kommen,4
520,ZF,können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,1
86,TL,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
152,TL,ich höre,5
80,UGV-1,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
813,UGV-2,wir können momentan keine Fotos machen,0
105,UAV,ich guck mal gleich wieder,2
75,UAV,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
88,TL,kannst du mir ein Bild schicken?,1
422,D2,Nochmal bitte kommen,1
34,TL,ja richtig,7
321,UAV,wir sind unterwegs und melden uns gleich nochmal,6
501,ZF,Für sie Auftrag Erkundung innen der Halle kommen,1
235,UGV-1,reichen dir die Bilder?,3
3,TL,UGV 2 von Einsatzleiter kommen,4
85,UGV-2,UGV 2 hört,5
171,UGV-2,UGV 2 hört,5
161,UGV-2,sollen wir versuchen uns anzuschließen?,3
73,TL,ich höre,5
1043,UAV,in der Ar- in Arbeit,6
1399,UGV-2,negativ,0
536,ZF,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,1
156,TL,ja mache ich,7
347,TL,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
50,TL,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
71,UGV-2,ich komme gleich mit 'nem neuen Bild,2
129,UAV,Einsatzleiter von UAV,4
10,TL,ja Bild ist angekommen,2
164,UAV,Einsatzleiter von UAV,4
145,TL,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
106,UGV-2,UGV 2 von Einsatzleiter,4
133,UGV-1,Einsatzleiter von UAV 1,4
843,UGV-2,momentan kann ich keine Bilder senden,0
82,TL,ja fahr mal rein,7
26,TL,ihr nehmt aber die westliche Richtung,2
100,TL,ja verstanden,2
45,UGV-1,ich hab dir ein'n Schnappschuss erstellt,2
32,UGV-1,ja es gibt Treppen,7
94,TL,ja dann fahrt mal hoch und erkundet da weiter,7
886,UGV-1,weiterhin technisch nicht möglich Fotos zu senden,0
102,UAV,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
97,UAV,U- UAV,6
95,UGV-1,ja ist verstanden,2
