id,speakers,summary,tokens,tags
0,TL,,hier der Teamleader,4
1,TL,,die Drohne ist auch einsatzbereit?,3
2,UAV,,ja das ist korrekt,7
3,TL,,UGV 2 von Einsatzleiter kommen,4
4,UGV-2,,UGV 2 hört,5
5,TL,,wie ist bei dir auch einsatzbereit?,3
6,TL,,Standort Frage?,3
7,UGV-2,,ja wir sind auch einsatzbereit,7
8,UGV-2,,versuchen noch den Standort rauszufinden,2
9,UGV-2,UGV-2 : versuchen noch den Standort rauszufinden.,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,TL,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen.,ja Bild ist angekommen,2
11,UAV,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen.,Einsatzleiter von UAV-Drohne,4
12,TL,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen.,ja ich höre,5
13,UAV,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen.,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,TL,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen.,ja startet mal und fliegt ja startet erst mal,7
15,TL,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen. TL : ja startet mal und fliegt ja startet erst mal.,UAV von Einsatzleiter kommen,4
16,UAV,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen. TL : ja startet mal und fliegt ja startet erst mal.,hier ist die UAV,5
17,TL,UGV-2 : versuchen noch den Standort rauszufinden. UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen. TL : ja startet mal und fliegt ja startet erst mal.,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,UAV,UGV-2 : versuchen noch den Standort rauszufinden. TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,TL,UGV-2 : ich hab gerade ein Bild hochgeladen das müsstest du sehen. TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,UGV 2 von Einsatzleiter kommen,4
20,UGV-2,TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken.,Teamleader UGV 2 gerufen?,3
21,TL,TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken.,ja richtig,7
22,TL,TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken.,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,UGV-2,TL : ja startet mal und fliegt ja startet erst mal. UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken. TL : bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab?,ja verstanden erkunden in südlicher Richtung,7
24,UGV-1,TL : ja startet mal und fliegt ja startet erst mal. TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UGV-2 : ja verstanden erkunden in südlicher Richtung.,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,TL,TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken. UGV-1 : Frage: der Einsatzbefehl gilt auch für UGV 1?,ja richtig,7
26,TL,TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken. UGV-1 : Frage: der Einsatzbefehl gilt auch für UGV 1?,ihr nehmt aber die westliche Richtung,2
27,UGV-1,TL : fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild? UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken. TL : ihr nehmt aber die westliche Richtung.,westliche Richtung verstanden,2
28,UGV-1,UAV : ja ist verstanden westlich über das Gelände und ein Bild schicken. UGV-2 : ja verstanden erkunden in südlicher Richtung. TL : ihr nehmt aber die westliche Richtung.,Einsatzleiter von UGV 1 kommen,4
29,TL,TL : bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? UGV-2 : ja verstanden erkunden in südlicher Richtung. TL : ihr nehmt aber die westliche Richtung.,ja höre,5
30,UGV-1,TL : bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? UGV-2 : ja verstanden erkunden in südlicher Richtung. TL : ihr nehmt aber die westliche Richtung.,die westliche Richtungserkundung auf dieser Ebene?,3
31,TL,TL : bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? TL : ihr nehmt aber die westliche Richtung. UGV-1 : die westliche Richtungserkundung auf dieser Ebene?,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,UGV-1,TL : bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? TL : ihr nehmt aber die westliche Richtung. UGV-1 : die westliche Richtungserkundung auf dieser Ebene?,ja es gibt Treppen,7
33,UGV-1,UGV-2 : ja verstanden erkunden in südlicher Richtung. UGV-1 : Frage: der Einsatzbefehl gilt auch für UGV 1? TL : ihr nehmt aber die westliche Richtung.,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,TL,UGV-1 : Frage: der Einsatzbefehl gilt auch für UGV 1? UGV-1 : die westliche Richtungserkundung auf dieser Ebene? TL : habt ihr die Möglichkeit die Ebene zu wechseln?,ja richtig,7
35,UAV,TL : ihr nehmt aber die westliche Richtung. UGV-1 : die westliche Richtungserkundung auf dieser Ebene? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,Einsatzleiter von UAV,4
36,TL,TL : ihr nehmt aber die westliche Richtung. UGV-1 : die westliche Richtungserkundung auf dieser Ebene? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,ich höre,5
37,UAV,UGV-1 : die westliche Richtungserkundung auf dieser Ebene? TL : habt ihr die Möglichkeit die Ebene zu wechseln? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,TL,UGV-1 : die westliche Richtungserkundung auf dieser Ebene? TL : habt ihr die Möglichkeit die Ebene zu wechseln? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,das ist verstanden,2
39,TL,UGV-1 : die westliche Richtungserkundung auf dieser Ebene? TL : habt ihr die Möglichkeit die Ebene zu wechseln? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,UAV von Einsatzleiter kommen,4
40,UAV,UGV-1 : die westliche Richtungserkundung auf dieser Ebene? TL : habt ihr die Möglichkeit die Ebene zu wechseln? UGV-1 : ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe.,UAV hört,5
