id,tokens,tags
0,hier der Teamleader,4
1,die Drohne ist auch einsatzbereit?,3
2,ja das ist korrekt,7
3,UGV 2 von Einsatzleiter kommen,4
4,UGV 2 hört,5
5,wie ist bei dir auch einsatzbereit?,3
6,Standort Frage?,3
7,ja wir sind auch einsatzbereit,7
8,versuchen noch den Standort rauszufinden,2
9,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,ja Bild ist angekommen,2
11,Einsatzleiter von UAV-Drohne,4
12,ja ich höre,5
13,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,ja startet mal und fliegt ja startet erst mal,7
15,UAV von Einsatzleiter kommen,4
16,hier ist die UAV,5
17,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,UGV 2 von Einsatzleiter kommen,4
20,Teamleader UGV 2 gerufen?,3
21,ja richtig,7
22,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,ja verstanden erkunden in südlicher Richtung,7
24,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,ja richtig,7
26,ihr nehmt aber die westliche Richtung,2
27,westliche Richtung verstanden,2
28,Einsatzleiter von UGV 1 kommen,4
29,ja höre,5
30,die westliche Richtungserkundung auf dieser Ebene?,3
31,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,ja es gibt Treppen,7
33,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,ja richtig,7
35,Einsatzleiter von UAV,4
36,ich höre,5
37,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,das ist verstanden,2
39,UAV von Einsatzleiter kommen,4
40,UAV hört,5
41,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,Einsatzleiter von UGV 1,4
44,ich höre,5
45,ich hab dir ein'n Schnappschuss erstellt,2
46,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,UGV 1 von Einsatzleiter kommen,4
49,UGV 1 hört,5
50,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,weitererkunden in westlicher Richtung verstanden,7
52,UGV 2 von Einsatzleiter,4
53,UGV 2 hört,5
54,wo ist dein Standort im Moment?,3
55,wir befinden uns auf einer Rampe,2
56,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,ja,7
58,UAV von Einsatzleiter,4
59,hier ist die UAV,5
60,wir haben zur Zeit technische Probleme,2
61,und können noch keine neuen Bilder senden,2
62,ja verstanden,2
63,UGV 1 von Einsatzleiter,4
64,UGV 1 hört,5
65,habt ihr schon neue Erkenntnisse?,3
66,bisher negativ,0
67,ihr bewegt euch weiter in westlicher Richtung?,3
68,das ist korrekt,7
69,UGV 2 von Einsatzleiter,4
70,ja ich UGV 2,5
71,ich komme gleich mit 'nem neuen Bild,2
72,Einsatzleiter von UAV,4
73,ich höre,5
74,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,au- aus,6
77,ja verstanden,2
78,ja Einsatzleiter von UGV 1 kommen,4
79,ich höre,5
80,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,ja fahr mal rein,7
83,ja verstanden,2
84,UGV 2 von Einsatzleiter,4
85,UGV 2 hört,5
86,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,kannst du mir ein Bild schicken?,1
89,ja kommt sofort,7
90,Einsatzleiter von UGV 1 kommen,4
91,ich höre,5
92,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,ja dann fahrt mal hoch und erkundet da weiter,7
95,ja ist verstanden,2
96,Einsatzleiter von UAV,4
97,U- UAV,6
98,ich höre,5
99,also ich kann auch hier keine Glutnester erkennen,2
100,ja verstanden,2
101,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,ja,7
105,ich guck mal gleich wieder,2
106,UGV 2 von Einsatzleiter,4
107,UGV 2 hört,5
108,du hattest mir gerade das Bild geschickt ja?,3
109,ja,7
110,ist schon etwas länger her,2
111,wir haben massive Probleme mit der Steuerung,2
112,ja da haben wir es gerade ein bisschen schwierig,2
113,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,ja verstanden,2
115,Einsatzleiter von UGV 2 kommen,4
116,ich höre,5
117,das Bild ist geteilt,2
118,ja ist bei mir angekommen,2
119,Frage: sollen wir da jetzt reinfahren?,3
120,warte ich muss eben erst gucken,6
121,ja fahrt da mal rein,7
122,ja verstanden,2
123,das müsste irgendwo im westlichen Bereich sein,2
124,Einsatzleiter von UAV,4
125,ich höre,5
126,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,ich kann keine Rauchentwicklung erkennen,2
128,ja verstanden,2
129,Einsatzleiter von UAV,4
130,ich höre,5
131,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,ich schicke dir ein Bild,2
133,Einsatzleiter von UAV 1,4
134,höre,5
135,ich korrigiere - UGV 1,6
136,ja kommen Sie,5
137,ja ich stehe jetzt am Fuß der Rampe,2
138,hab dir ein Bild geschickt,2
139,kannst du mal was gucken ob da was Interessantes ist,2
140,ja danke,7
141,zur Info das ist der Blick in östlicher Richtung,2
142,UAV von Einsatzleiter,4
143,ich hör' dich,5
144,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,UGV 2 von Einsatzleiter,4
148,UGV 2 hört,5
149,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,Einsatzleiter von UAV,4
152,ich höre,5
153,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
154,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,guckst du mal?,2
156,ja mache ich,7
157,Einsatzleiter von UGV 2 kommen,4
158,ich höre,5
159,ja ich habe nochmal ein Foto gezeigt,2
160,UGV 1 ist gerade an uns vorbei gefahren,2
161,sollen wir versuchen uns anzuschließen?,3
162,abz- anzuschließen,6
163,ja macht ihr mal,7
164,Einsatzleiter von UAV,4
165,höre,5
166,wir müssen gleich nochmal den Akku tauschen,2
167,hast du danach noch einen Auftrag für uns?,3
168,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,ja ist verstanden,2
170,UGV 2 von Einsatzleiter,4
171,UGV 2 hört,5
172,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV 1 erreicht gerade die erste Ebene,7
175,das ist verstanden,2
176,schickst du mir dann auch von da mal ein Foto?,1
177,ja das ist verstanden,7
178,Einsatzleiter von UAV,4
179,ich höre,5
180,wir wären wieder startklar wenn du was neues für uns hast?,2
181,ja ich melde mich gleich bei euch,2
182,Einsatzleiter von UGV 1,4
183,ich höre,5
184,Foto ist erstellt und geteilt,2
185,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,könnt ihr mir Näheres zu dem Behälter geben?,3
187,ich fahr mal näher ran und erkunde,2
188,ja verstanden,2
189,UGV 1 von Einsatzleiter,4
190,UGV 1 hört,5
191,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,das ist korrekt,7
193,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,ja verstanden,7
195,Einsatzleiter von UAV,4
196,ich höre,5
197,ja wir haben uns gerade die Bilder noch einmal angeguckt,2
198,da könnte nochmal was sein,2
199,wir steigen nochmal auf und gucken uns das nochmal an,2
200,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
201,da konnte man nicht viel erkennen,2
202,ja ich versuch dir nochmal ein besseres Bild zu liefern,7
203,ja verstanden,2
204,Einsatzleiter von UGV 1,4
205,höre,5
206,schicke dir nochmal ein Bild,2
207,wir haben hier einen Gefahrenzettel auf dem Behälter,2
208,ja verstanden,2
209,Einsatzleiter von UGV 2,4
210,ich höre,5
211,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,2
212,ich hab auch nochmal ein Bild geschickt,2
213,UGV 1 von Einsatzleiter,4
214,UGV 1 von Einsatzleiter,4
215,UGV 1 hört,5
216,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
217,ja positiv wird gemacht,7
218,Einsatzleiter von UAV,4
219,ich höre,5
220,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,2
221,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,2
222,ja,2
223,ich schau mal rein,2
224,Einsatzleiter von UGV 1,4
225,ich höre,5
226,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,2
227,Einsatzleiter von UAV,4
228,ja ich höre,5
229,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,2
230,ja verstanden,7
231,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,2
232,ja verstanden,2
233,Einsatzleiter von UGV 1,4
234,ich höre,5
235,reichen dir die Bilder?,3
236,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,2
237,ja reicht mir erst mal aus,7
238,setz die Erkundung fort,7
239,Einsatzleiter von UGV 2 kommen,4
240,ich höre,5
241,ja kriegen wir auch noch einen Auftrag?,3
242,ja,7
243,ich komme sofort wieder,6
244,UGV 2 von Einsatzleiter,4
245,UGV 2 hört,5
246,seht ihr die drei Hochbehälter?,3
247,negativ,0
248,aber ich sehe gerade Rauchentwicklung von hier aus,2
249,soll ich mal ein Foto machen?,2
250,Einsatzleiter von UGV 1,4
251,ich höre,5
252,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,2
253,ja schickst du mir nochmal ein Bild?,1
254,ja ist verstanden,7
255,wir haben auch jetzt hier erhöhte Rauchentwicklung,2
256,ja verstanden,2
257,Einsatzleiter von UAV,4
258,ich höre,5
259,ich hab dir doch noch ein Bild geschickt in Infrarot,2
260,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,- an der - an dem Tank,6
262,ja verstanden,2
263,UGV 2 von Einsatzleiter,4
264,UGV 2 hört,5
265,Frage: wo ist jetzt euer Standort?,3
266,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,weil das können wir selber klar nicht feststellen,2
270,Einsatzleiter von UGV 1,4
271,ich höre,5
272,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,Si- andere Signaturen,6
275,ja verstanden,2
276,UGV 2 von Einsatzleiter,4
277,UGV 2 hört,5
278,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,ja,7
280,Einsatzleiter von UGV 2,4
281,ja,5
282,ja Foto ist geteilt,2
283,Einsatzleiter von UGV 1,4
284,ja ich höre,5
