id,speakers,tokens,tags
0,TL,hier der Teamleader,4
1,TL,die Drohne ist auch einsatzbereit?,3
2,UAV,ja das ist korrekt,7
3,TL,UGV 2 von Einsatzleiter kommen,4
4,UGV-2,UGV 2 hört,5
5,TL,wie ist bei dir auch einsatzbereit?,3
6,TL,Standort Frage?,3
7,UGV-2,ja wir sind auch einsatzbereit,7
8,UGV-2,versuchen noch den Standort rauszufinden,2
9,UGV-2,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,TL,ja Bild ist angekommen,2
11,UAV,Einsatzleiter von UAV-Drohne,4
12,TL,ja ich höre,5
13,UAV,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,TL,ja startet mal und fliegt ja startet erst mal,7
15,TL,UAV von Einsatzleiter kommen,4
16,UAV,hier ist die UAV,5
17,TL,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,UAV,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,TL,UGV 2 von Einsatzleiter kommen,4
20,UGV-2,Teamleader UGV 2 gerufen?,3
21,TL,ja richtig,7
22,TL,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,UGV-2,ja verstanden erkunden in südlicher Richtung,7
24,UGV-1,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,TL,ja richtig,7
26,TL,ihr nehmt aber die westliche Richtung,2
27,UGV-1,westliche Richtung verstanden,2
28,UGV-1,Einsatzleiter von UGV 1 kommen,4
29,TL,ja höre,5
30,UGV-1,die westliche Richtungserkundung auf dieser Ebene?,3
31,TL,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,UGV-1,ja es gibt Treppen,7
33,UGV-1,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,TL,ja richtig,7
35,UAV,Einsatzleiter von UAV,4
36,TL,ich höre,5
37,UAV,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,TL,das ist verstanden,2
39,TL,UAV von Einsatzleiter kommen,4
40,UAV,UAV hört,5
41,TL,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,UAV,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,UGV-1,Einsatzleiter von UGV 1,4
44,TL,ich höre,5
45,UGV-1,ich hab dir ein'n Schnappschuss erstellt,2
46,UGV-1,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,UGV-1,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,TL,UGV 1 von Einsatzleiter kommen,4
49,UGV-1,UGV 1 hört,5
50,TL,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,UGV-1,weitererkunden in westlicher Richtung verstanden,7
52,TL,UGV 2 von Einsatzleiter,4
53,UGV-2,UGV 2 hört,5
54,TL,wo ist dein Standort im Moment?,3
55,UGV-2,wir befinden uns auf einer Rampe,2
56,UGV-2,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,TL,ja,7
58,TL,UAV von Einsatzleiter,4
59,UAV,hier ist die UAV,5
60,UAV,wir haben zur Zeit technische Probleme,2
61,UAV,und können noch keine neuen Bilder senden,2
62,TL,ja verstanden,2
63,TL,UGV 1 von Einsatzleiter,4
64,UGV-1,UGV 1 hört,5
65,TL,habt ihr schon neue Erkenntnisse?,3
66,UGV-1,bisher negativ,0
67,TL,ihr bewegt euch weiter in westlicher Richtung?,3
68,UGV-1,das ist korrekt,7
69,TL,UGV 2 von Einsatzleiter,4
70,UGV-2,ja ich UGV 2,5
71,UGV-2,ich komme gleich mit 'nem neuen Bild,2
72,UAV,Einsatzleiter von UAV,4
73,TL,ich höre,5
74,UAV,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,UAV,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,UAV,au- aus,6
77,TL,ja verstanden,2
78,UGV-1,ja Einsatzleiter von UGV 1 kommen,4
79,TL,ich höre,5
80,UGV-1,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,UGV-1,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,TL,ja fahr mal rein,7
83,UGV-1,ja verstanden,2
84,TL,UGV 2 von Einsatzleiter,4
85,UGV-2,UGV 2 hört,5
86,TL,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,UGV-2,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,TL,kannst du mir ein Bild schicken?,1
89,UGV-2,ja kommt sofort,7
90,UGV-1,Einsatzleiter von UGV 1 kommen,4
91,TL,ich höre,5
92,UGV-1,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,UGV-1,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,TL,ja dann fahrt mal hoch und erkundet da weiter,7
95,UGV-1,ja ist verstanden,2
96,UAV,Einsatzleiter von UAV,4
97,UAV,U- UAV,6
98,TL,ich höre,5
99,UAV,also ich kann auch hier keine Glutnester erkennen,2
100,TL,ja verstanden,2
101,TL,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,UAV,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,TL,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,UAV,ja,7
105,UAV,ich guck mal gleich wieder,2
106,UGV-2,UGV 2 von Einsatzleiter,4
107,UGV-2,UGV 2 hört,5
108,TL,du hattest mir gerade das Bild geschickt ja?,3
109,UGV-2,ja,7
110,UGV-2,ist schon etwas länger her,2
111,UGV-2,wir haben massive Probleme mit der Steuerung,2
112,UGV-2,ja da haben wir es gerade ein bisschen schwierig,2
113,UGV-2,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,TL,ja verstanden,2
115,UGV-2,Einsatzleiter von UGV 2 kommen,4
116,TL,ich höre,5
117,UGV-2,das Bild ist geteilt,2
118,TL,ja ist bei mir angekommen,2
119,UGV-2,Frage: sollen wir da jetzt reinfahren?,3
120,TL,warte ich muss eben erst gucken,6
121,TL,ja fahrt da mal rein,7
122,UGV-2,ja verstanden,2
123,UGV-2,das müsste irgendwo im westlichen Bereich sein,2
124,UAV,Einsatzleiter von UAV,4
125,TL,ich höre,5
126,UAV,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,UAV,ich kann keine Rauchentwicklung erkennen,2
128,TL,ja verstanden,2
129,UAV,Einsatzleiter von UAV,4
130,TL,ich höre,5
131,UAV,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,UAV,ich schicke dir ein Bild,2
133,UGV-1,Einsatzleiter von UAV 1,4
134,TL,höre,5
135,UGV-1,ich korrigiere - UGV 1,6
136,TL,ja kommen Sie,5
137,UGV-1,ja ich stehe jetzt am Fuß der Rampe,2
138,UGV-1,hab dir ein Bild geschickt,2
139,UGV-1,kannst du mal was gucken ob da was Interessantes ist,2
140,TL,ja danke,7
141,UGV-1,zur Info das ist der Blick in östlicher Richtung,2
142,TL,UAV von Einsatzleiter,4
143,UAV,ich hör' dich,5
144,TL,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,TL,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,UAV,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,TL,UGV 2 von Einsatzleiter,4
148,UGV-2,UGV 2 hört,5
149,TL,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,UGV-2,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,UAV,Einsatzleiter von UAV,4
152,TL,ich höre,5
153,UAV,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
154,UAV,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,UAV,guckst du mal?,2
