TL	hier der Teamleader	Kontakt_Anfrage
TL	die Drohne ist auch einsatzbereit?	Information_nachfragen
UAV	ja, das ist korrekt	Zusage
TL	UGV 2 von Einsatzleiter, kommen	Kontakt_Anfrage
UGV-2	UGV 2 hört	Kontakt_Bestaetigung
TL	wie ist bei dir, auch einsatzbereit?	Information_nachfragen
TL	Standort, Frage?	Information_nachfragen
UGV-2	ja, wir sind auch einsatzbereit	Zusage
UGV-2	versuchen noch den Standort rauszufinden	Information_geben
UGV-2	ich hab gerade ein Bild hochgeladen das müsstest du sehen	Information_geben
TL	ja, Bild ist angekommen	Information_geben
UAV	Einsatzleiter von UAV-Drohne	Kontakt_Anfrage
TL	ja, ich höre	Kontakt_Bestaetigung
UAV	sollen wir loslegen, und erkunden? oder hast du noch was?	Information_nachfragen
TL	ja, startet mal und fliegt ja, startet erst mal	Zusage
TL	UAV von Einsatzleiter, kommen	Kontakt_Anfrage
UAV	hier ist die UAV	Kontakt_Bestaetigung
TL	fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?	Einsatzbefehl
UAV	ja, ist verstanden, westlich über das Gelände und ein Bild schicken	Zusage
TL	UGV 2 von Einsatzleiter, kommen	Kontakt_Anfrage
UGV-2	Teamleader, UGV 2 gerufen?	Information_nachfragen
TL	ja richtig	Zusage
TL	bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen	Einsatzbefehl
UGV-2	ja, verstanden, erkunden in südlicher Richtung	Zusage
UGV-1	Frage: der Einsatzbefehl gilt auch für UGV 1?	Information_nachfragen
TL	ja, richtig	Zusage
TL	ihr nehmt aber die westliche Richtung	Information_geben
UGV-1	westliche Richtung, verstanden	Information_geben
UGV-1	Einsatzleiter von UGV 1, kommen	Kontakt_Anfrage
TL	ja, höre	Kontakt_Bestaetigung
UGV-1	die westliche Richtungserkundung auf dieser Ebene?	Information_nachfragen
TL	habt ihr die Möglichkeit, die Ebene zu wechseln?	Information_nachfragen
UGV-1	ja, es gibt Treppen	Zusage
UGV-1	ich schick dir mal ein Bild, dass du einen Eindruck kriegst, wo ich gerade stehe	Information_geben
TL	ja, richtig	Zusage
UAV	Einsatzleiter von UAV	Kontakt_Anfrage
TL	ich höre	Kontakt_Bestaetigung
UAV	ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen	Information_geben
TL	das ist verstanden	Information_geben
TL	UAV von Einsatzleiter, kommen	Kontakt_Anfrage
UAV	UAV hört	Kontakt_Bestaetigung
TL	könnt ihr den Bereich mal abschwenken mit der Kamera, und nach eventuellen Brandnestern suchen?	Einsatzbefehl
UAV	ja, wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera	Zusage
UGV-1	Einsatzleiter von UGV 1	Kontakt_Anfrage
TL	ich höre	Kontakt_Bestaetigung
UGV-1	ich hab dir ein'n Schnappschuss erstellt	Information_geben
UGV-1	kannst du mal gucken, ob dir das recht ist, auf dieser Ebene zu suchen?	Information_nachfragen
UGV-1	das wäre jetzt der Blick in den westlichen Teil der Halle	Information_geben
TL	UGV 1 von Einsatzleiter, kommen	Kontakt_Anfrage
UGV-1	UGV 1 hört	Kontakt_Bestaetigung
TL	bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung, und erkundet dort	Einsatzbefehl
UGV-1	weitererkunden in westlicher Richtung, verstanden	Zusage
TL	UGV 2 von Einsatzleiter	Kontakt_Anfrage
UGV-2	UGV 2 hört	Kontakt_Bestaetigung
TL	wo ist dein Standort im Moment?	Information_nachfragen
UGV-2	wir befinden uns auf einer Rampe	Information_geben
UGV-2	ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg	Information_geben
TL	ja	Zusage
TL	UAV von Einsatzleiter	Kontakt_Anfrage
UAV	hier ist die UAV	Kontakt_Bestaetigung
UAV	wir haben zur Zeit technische Probleme	Information_geben
UAV	und können noch keine neuen Bilder senden	Information_geben
TL	ja, verstanden	Information_geben
TL	UGV 1 von Einsatzleiter	Kontakt_Anfrage
UGV-1	UGV 1 hört	Kontakt_Bestaetigung
TL	habt ihr schon neue Erkenntnisse?	Information_nachfragen
UGV-1	bisher negativ	Absage
TL	ihr bewegt euch weiter in westlicher Richtung?	Information_nachfragen
UGV-1	das ist korrekt	Zusage
TL	UGV 2 von Einsatzleiter	Kontakt_Anfrage
UGV-2	ja, ich UGV 2	Kontakt_Bestaetigung
UGV-2	ich komme gleich mit 'nem neuen Bild	Information_geben
UAV	Einsatzleiter von UAV	Kontakt_Anfrage
TL	ich höre	Kontakt_Bestaetigung
UAV	also, wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen	Information_geben
