TL	ja, schick ich jetzt den Angriff dorthin zum Lesen, aber wenn du direkt vorbeikommst, dann mach nur ein näheres Foto als Nachweis	Promise
UGV-1	Kann ich dir nicht genau sagen	Answer
UGV-1	keine Thermik	Disconfirm
UGV-1	nur die Person steht jetzt	Inform
TL	Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid Kommen	Request
UGV-1	der weitere der steht war die Person die vorhin gelegen hat optischen Augenscheins nach	Inform
UAV	wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt, wir können keine Gefahrstoff-Kennzeichnung erkennen	Inform
UGV-1	werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden	Offer
UGV-2	ja, korrekt	Confirm
TL	guck mal auch nebenbei so ein bisschen nach dem Feuer	Request
TL	ja, verstanden	Auto-positive
UAV	ich schi- versuch, dir nochmal die Bilder zu schicken	SelfCorrection
TL	Ja ist verstanden	Auto-positive
TL	Höre	TurnAccept
TL	Frage wie sieht's da mit der Brandausbreitung aus?	Question
TL	zwei Minuten Funkstille zwecks Übergabe	Inform
UGV-2	ich glaube nicht	Disconfirm
UGV-2	UGV 2 hört	TurnAccept
TL	das ist verstanden	Auto-positive
UGV-1	ja, ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren	Inform
TL	UGV 2 von Teamleader, kommen	TurnAssign
UGV-1	grüne Fass mit Flasche drauf	Inform
TL	schickst du mir dann auch von da mal ein Foto?	Request
TL	so, UAV one über den Benno kommen	TurnAssign
UGV-2	UGV 2 gerufen?	TurnAccept
TL	Frage ist die Drohne noch in der Luft?	PropositionalQuestion
UAV	Ich hab weiter	Answer
UGV-1	Dann mag es so sein	Agreement
TL	Ja dann Missionsende für Sie	Auto-positive
UGV-1	ich setze Personensuche fort	Offer
TL	ja, ist bei mir angekommen	Confirm
UGV-1	ich werde jetzt auch einen Weg suchen, ins Obergeschoss zu kommen	Offer
TL	bin - ich - k- kann da noch nichts lokalisieren, auch anhand der großen Karte, wo genau diese Personen sich befinden	Stalling
TL	UGV 2 von Einsatzleiter, kommen	TurnAssign
TL	ja kann die Daten auswerten	Promise
UAV	Teamleader von der UAV Drohne	TurnAssign
TL	verstanden	Auto-positive
