id,tokens,tags
101,mach mal ein Foto zur Orientierung für mich,O O O O O O O O
1384,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,O O O B O O O O O O O O O O
1588,ja landet erst mal ihr kriegt einen neuen Auftrag,O O O O B O O O O
1104,mach mal Fotos auch wenn du was findest dass man den Weg nachvollziehen kann,O O O O O B O O O O O O O O
1751,ja schickst du mir mal ein Foto,O O B O O O O
1128,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,O O O O B O O O O O O O O O O O O O
2118,Kannst du mir mal grob deine Position auf der Karte durchgeben,O B O O O O O O O O O
393,Wassertrupp bedient den Feuerlöscher,B O O O
424,Drohnenoperator erkundet den Gefahrenbereich und macht die Bilder,B O O O O O O O
338,schicken Sie mir das Foto,O B O O O
380,Angrifftrupp zum Ankleiden vom Wassertrupp,B O O O O
529,dann bitte einmal ein Foto davon und wieder landen,O O O O O O O O O
1041,folgenden Auftrag den gleichen Weg nehmen wie Operator 1,O O O O O O O O O
365,Wassertrupp mit Verteiler Gefahrenbereich markieren,B O O O O
2563,D1 mitgehört sie können wieder die Innenerkundung starten kommen,B O O O O O O O O
2660,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,O O O B O O O O O O O O
811,ja korrekt da stehen bleiben,O O O O O
1373,Für sie Auftrag innerhalb des Gebäudes nach Hitze  und Rauchquellen suchen,O B O O O O O O O O O O
385,Wassertrupp bereitet Löschwasser mit der Saugleitung vor,B O O O O O O
1688,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,O O O O O O B O O O O O O O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,B O O O O O O O O O O O O
1653,ja reicht mir erst mal aus setz die Erkundung fort,O O O O O O O O O O
2297,Fahr trotzdem erst mal in die Richtung,O O O O O O O
969,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,O O O O O O O O O O O O O O
413,Der Trupp transportert die Verletzten mit hilfe von Krankentrage,B I O O O O O O O
384,Wassertrupp zum Kuppeln von Saugleitung vor,B O O O O O
2672,Sofortiger Stop des Roboters Kontaminationsverschleppung bitte verweilen sie am Gefahrenbereich kommen,O O O O O O O B O O O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,B O O O O O O O O O O O
1098,dann bitte weiter suchen,O O O O
47,kommst du näher an das blaue Fass dass wir eine Erkennung haben,O B O O O O O O O O O O
609,der Einsatz Auftrag ist unverändert Erkundung nach Personen,O O O O O O O O
35,mach mal ein Foto,O O O O
1820,Angriffstrupp und Wassertrupp rüsten sich mit Form 1 und Atemschutz aus und gehen in den Bereitstellungsraum,B I I O O O O O O O O O O O O O
2238,Und guck mal ob du ein genaues Bild von diesen Samples kriegen kannst,O O O O B O O O O O O O O
1846,möglicherweise sind dann auch Personen vermisst also Personensuche voran  bringen und dann eventuell noch nach der Schadenursache gucken,O O O O O O O O O O O O O O O O O O O
447,Schlauchtrupp öffnet die Tür hinter dem grünen Fass,B O O O O O O O
364,Wassertrupp zur Absicherung der Einsatzstelle,B O O O O
1864,ja beide Bilder in Infrarot ebenfalls,O O O O O O
2482,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,O B O O O O O O O O O O
2680,Ja das ist verstanen auch für sie zur Information der D2 hat seinen Auftrag erledigt für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O
2293,Und konntest du irgendwelche Markierungen darauf erkennen oder Schilder,O O B O O O O O O
2082,Okay Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst Kommen,O O O O B O O O O O O O O O O O O O O O O O O O O O
1824,Einsatzausrüstung Rettungs Arbeitsleine Lampe PA Strahlrohr Wasser,O O O O O O O
2403,Das ist soweit verstanden dann bitte selbständig anfunken kommen,O O O O O O O O O
372,Angriffsttrupp zur Menschenrettung vor,B O O O
1742,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen,O B O O O O O O O O O O O O O O O
452,Angrifftrupp tritt über das Haupttor ein,B O O O O O
453,Gruppenführer Erkundung mit dem D fünf im Inneren der Halle,B O O O O O O O O O
373,Angriffstrupp zum Abdichten des Gefahrenbereiches vor,B O O O O O
