id,tokens,tags
827,wenn betriebsbereit Auftrag durchführen,O O O O
375,Wassertrupp stellt die Wasserversorgung bereit,O O O O O
1705,dann müsst ihr euch von da aus in östlicher Richtung bewegen,O O O O O O O O O O O
2221,Dein Einsatzauftrag trotzdem setz den Arm ein und nimm die Probe auf,O O O O O O O O O O O O
2283,Kannst du dich in die Richtung zurückbegeben und da mal nachgucken,O O O O O O O O O O O
2260,Kreise mal bitte jetzt dann um ASA 352 herum,O O O O O O O O O
811,ja korrekt da stehen bleiben,O O O O O
1422,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,O O O O O O O O O O O O O O O O O O O
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O O O O O O O O O O O O O O O
969,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,O O O O O O O O O O O O O O
474,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,O O O O O O O O O O O O O O
905,benötige Foto,O O
372,Angriffsttrupp zur Menschenrettung vor,O O O O
488,Operator Boden 2 ein Foto senden,O O O O O O
2206,Dass du dass du mal ein Foto machst du auf Höhe von ASA 310,O O O O O O O O O O O O O O
1229,Drohnenoperator starten Sie und über  machen Sie sich einen Überblick über die Lage,O O O O O O O O O O O O O O
802,und von dort geradeaus weiter auf die Person zufahren,O O O O O O O O O
2680,Ja das ist verstanen auch für sie zur Information der D2 hat seinen Auftrag erledigt für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1846,möglicherweise sind dann auch Personen vermisst also Personensuche voran  bringen und dann eventuell noch nach der Schadenursache gucken,O O O O O O O O O O O O O O O O O O O
54,zu allen Roboter mal kurz Stop,O O O O O O
408,Sie trennen Metallteil mit einer Trennschleifmaschine,O O O B I I
442,D4 macht die Bilder in der Lagerhalle innen und außen,O O O O O O O O O O
1207,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,O O O O O O O O O O O
2139,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,O O O O O O O O O
2179,Nimm doch mal bitte einen Rundblick,O O O O O O
457,D2 schließt den Container mit dem Arm,O O O O B I I
414,Sie transportieren die Person in einem Rettungstuch,O O O O B I I
432,Angrifftrupp zum Löschen mit dem C Rohr vor,O O O B I I I O
389,Wassertrupp zur Löschwasserentnahme durch Wandhydranten vor,O O O B I O
379,Angriffstrupp baut den Dekonplatz auf,O O O O O
529,dann bitte einmal ein Foto davon und wieder landen,O O O O O O O O O
1588,ja landet erst mal ihr kriegt einen neuen Auftrag,O O O O O O O O O
403,Sie zerbrechen die Deckel mit der Holzaxt,O O O O B I I
801,Roboter 1 können Sie den Standort nochmal anfahren,O O O O O O O O
418,Gruppenführer Erkundung mit dem D3 im Inneren der Lagerhalle,O O B I I O O O O
1126,dass du dieses Bild nochmal machst aber reinzoomst,O O O O O O O O
458,D 3 zum Transport in die Halle vor,O O O O O O O O
391,Schlauchtrupp zur Löschwasserentnahme durch Überflurhydrant vor,O O O B I O
378,Angrifftrupp zum Aufbauen vom Dekonplatz,O O O O O
1919,UGV 1 UGV 2 könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat,O O O O O O O O O O O O O
411,Der Angriffstrupp trennt die Stahlteilen mit dem Brennschneidgerät,O O O O O B I I
1970,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,O O O O O O O O O O O O O O
1755,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können,O O O O O O O O O O O O O O O O O O O O
880,ich möchte Infrarot Bilder haben mit dem Ziel Leckagen festzustellen beziehungsweise Wärmestrahlung,O O O O O O O O O O O O
356,Den obersten Schlauch am Verteiler ankuppeln und mit dem Schlauchtragekorb in das Gebäude vorgehen,O O O O O O O B I I O O O O
1873,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,O O O O O O O O O O O B I I O O O O O O O O O O O O O O O
2558,Ja das ist verstanden bitte melden wenn durchgeführt,O O O O O O O O
1863,auf Menschen und sonstige Ereignisse scannen,O O O O O O
982,du sollst zur Rauchentwicklung fahren,O O O O O
1523,ja dann fahrt mal hoch und erkundet da weiter,O O O O O O O O O
338,schicken Sie mir das Foto,O O O O O
407,Trupp fällt die Bäume mit der Motorkettensäge,O O O O B I I
487,da ein Foto machen,O O O O
1819,Bereitstellungsraum für die vorgehenden Trupps fünf Meter vor dem Löschfahrzeug,O O O O O O O O O O
385,Wassertrupp bereitet Löschwasser mit der Saugleitung vor,O O O B I I O
2293,Und konntest du irgendwelche Markierungen darauf erkennen oder Schilder,O O O O O O O O O
2238,Und guck mal ob du ein genaues Bild von diesen Samples kriegen kannst,O O O O O O O O O O O O O
88,UGV 1 aber warten,O O O O
357,Wassertrupp zur Schlauchhaspel,O O O
126,dann Erkundung zweiter Obergeschoss,O O O O
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O O O O O O O O O
2608,Behältniss wurde ins Überfass verfrachtet positiv das Fass soll geschlossen werden kommen,O O O O O O O O O O O O
355,alle bitte hier zum Treffpunkt ans Zelt kommen,O O O O O O O O
2563,D1 mitgehört sie können wieder die Innenerkundung starten kommen,O O O O O O O O O
439,D vier macht die Abmessung mit dem Gas Sensor,O O O O O B I I I
1117,und guckst ob du von dort aus noch Personen erkennen kannst,O O O O O O O O O O O
2108,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist,O O O O O O O O O O O
402,Trupp macht ein Loch mit dem Gurtmesser,O O O O B I I
1862,bitte auch per Infrarot bitte,O O B I O
1474,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen,O O O O O O B I I O O O O O
1373,Für sie Auftrag innerhalb des Gebäudes nach Hitze  und Rauchquellen suchen,O O O O O O O O O O O O
435,Sie ziehen es raus mit dem Rettungszylinder,O O O O B I I
2082,Okay Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst Kommen,O O O O O O O O O O O O O O O O O O O O O O O O O O
1511,ja fahr mal rein,O O O O
405,Trupp trennt die Zäunen mit dem Bolzenschneider,O O O O B I I
1392,Aber auch Hitzequellen Rauchquellen oder chemische Substanzen melden und auf der Karte markieren,O O O O O O O O O O O O O
897,neuer Auftrag lautet Suchen von Leckagen von Undichtigkeiten und Chemikalien,O O O O O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O O O O O O O O O O O O O O O O O O O O O O O
1447,ja startet mal und fliegt ja startet erst mal,O O O O O O O O O
392,Wassertrupp spritzt das Gebiet mit Wasser mit der Kübelspritze,O O O O O O B I I
1190,ich hab im Moment keinen Roboter einsatzbereit kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst,O O O O O O O O O O O O O O O O O O O
2097,Kannst du mir mal ein Foto von deiner Position machen,O O O O O O O O O O
2515,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,O O O O O O O O O O O O O O O O
2302,Kannst du ein Foto machen,O O O O O
1824,Einsatzausrüstung Rettungs Arbeitsleine Lampe PA Strahlrohr Wasser,O O O O O O O
1450,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild,O O O O O O O O O O O O O O O O
433,Für sie Aufgabe Feuerlöschen mit D Rohr im Keller,O O O O B I I O O
366,Wassertrupp Löschangriff mit Wasser Schaum und Pulver aufbauen,O O B I I I I O
371,Maschinist zur Atemschutzüberwachung vor,O O O O
2472,ein stückchen näher ran,O O O O
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,O O O O O
448,Zum Transport der Verletzten hinter dem Gabelstepler,O O O O O O O
444,D2 bewegt sich Richtung Norden,O O O O O
363,Angriffstrupp mit der Schlauchbrücke zur Gefahrenquelle vor,O B I I O O O
