id,tokens,tags
365,Wassertrupp mit Verteiler Gefahrenbereich markieren,O B I O O
1104,mach mal Fotos auch wenn du was findest dass man den Weg nachvollziehen kann,O O O O O O O O O O O O O O
424,Drohnenoperator erkundet den Gefahrenbereich und macht die Bilder,O O O O O O O O
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O O O O O B I O O O O O O O O O
458,D 3 zum Transport in die Halle vor,O O O O O O O O
1517,kannst du mir ein Bild schicken,O O O O O O
801,Roboter 1 können Sie den Standort nochmal anfahren,O O O O O O O O
452,Angrifftrupp tritt über das Haupttor ein,O O O O O O
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O O O O O O B O O O O
954,von oben uns Fotos machst und guckst wo wir ne Rauchentwicklung haben und auch mit der Infrarot Kamera,O O O O O O O O O O O O O B I I I I
382,Angriffstrupp zur Brandbekämpfung mit dem Schaumstrahlrohr vor,O O O B I I O
430,UGV Operator erkundet den Gefahrenbereich im zweiten Stock,O O O O O O O O
953,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,O O O O O O B I I O O O O O O O O O O O O O O O O
414,Sie transportieren die Person in einem Rettungstuch,O O O O B I I
1116,ich möchte mal dass du mit der   mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,O O O O O O O O O B I I O O O O O O O O O O O O O O O O
432,Angrifftrupp zum Löschen mit dem C Rohr vor,O O O B I I I O
401,Trupp entfernt es mit dem Klappmesser,O O O B I I
1373,Für sie Auftrag innerhalb des Gebäudes nach Hitze  und Rauchquellen suchen,O O O O O O O O O O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O O O O B I I I O O O O O O O O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,O O O O O B I I
2283,Kannst du dich in die Richtung zurückbegeben und da mal nachgucken,O O O O O O O O O O O
2207,Ich orientiere mich nur an der Karte das heißt nach rechts wäre Osten du folgst einfach der langen Straße praktisch,O O O O O O O O O O O O O O O O O O O O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O B I I O O O O O O O
1821,Schlauchtrupp baut Not Dekon neben Bereitstellungsraum auf,O O O O O O O
363,Angriffstrupp mit der Schlauchbrücke zur Gefahrenquelle vor,O B I I O O O
395,Angriffstrupp öffnet die Tür mit dem Nageleisen,O O O O B I I
370,Maschinist zur Unterstützung beim Aufbau der Wasserversorgung vor,O O O O O O O O
406,Sie schneiden Holz mit der Motorkettensäge,O O O B I I
1862,bitte auch per Infrarot bitte,O O B I O
433,Für sie Aufgabe Feuerlöschen mit D Rohr im Keller,O O O O B I I O O
88,UGV 1 aber warten,O O O O
2206,Dass du dass du mal ein Foto machst du auf Höhe von ASA 310,O O O O O O O O O O O O O O
2475,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,O O O O O O O O O O
1873,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,O O O O O O O O O O O B I I O O O O O O O O O O O O O O O
420,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O B I O O O O O O O
488,Operator Boden 2 ein Foto senden,O O O O O O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,O O O B I O O O O O O O
491,UAV bitte eine Gesamtübersicht von dem zentralen Gebäude,O O O O O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O B I O O O O O O O
861,absuchen der Fläche vielleicht finden wir die Person dort mit dem Wärmebild,O O O O O O O O O B I I
359,Mit dem Schlauchhaspel den Verbindungsschlauch vom Hydrant zur Beregnungsmaschine verlegen,B I I O O O O O O O
2515,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,O O O O O O O O O O O O O O O O
2450,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor Für sie Auftrag Erkundung innen der Halle kommen,O O O O O O O O O O O O O O O O O O O O
1390,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,O O O O O O O O O
2487,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,O O O O O O O O O O O O O O O B I I O O O O O O O O O O O O O O O O O O
1138,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
377,Wassertrupp sperrt den Gefahrenbereich ab,O O O O O
845,neuer Auftrag Personsuche aus der Luft mittels Wärmebildkamera kommen,O O O O O O B I O
385,Wassertrupp bereitet Löschwasser mit der Saugleitung vor,O O O B I I O
437,D zwei fotografiert das Gebiet mit der Thermalkamera,O O O O O B I I
