id,tokens,tags
362,Der Trupp startet ein Innenangriff mit der Schnellangriffsleitung,O O O O O O O O
373,Angriffstrupp zum Abdichten des Gefahrenbereiches vor,O O O O O O
963,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,O O O B O O O O O O O O O
384,Wassertrupp zum Kuppeln von Saugleitung vor,O O O O O O
478,Boden 1 nach rechts,O O B I
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O O O O O O O O O O O O B I I O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O O O O O O O O O O O
371,Maschinist zur Atemschutzüberwachung vor,O O O O
953,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,O O O O O O O O O O O B I I O O O O O O O O O O O
454,D 4 zur Erkundung mit Infrarotkamera ins Gebäude durch das Tor vor,O O O O O O O O B I I O
422,Angriffstrupp zur Menschenrettung mit Pressluftatmern und 1 Rohr ins Wohnzimmer durch den Hauseingang vor,O O O O O O O O O O B I I O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,O O O O O O O O B I I O O O
88,UGV 1 aber warten,O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O O O O O O B I I O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,O O O O O O O O B I I O
1722,ihr setzt die Erkundung in östlicher Richtung weiter fort,O O O O B I I O O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O O O O O O O B I I O
314,kann man von oben vielleicht mir ein Foto schicken,O O B I O O O O O
1459,ihr nehmt aber die westliche Richtung,O O O B I I
374,Maschinist zur Bedienung von Stromerzeuger und Ausleuchten der Einsatzstelle bei Nacht vor,O O O O O O O O O O O O
84,UGV 1 damit warten,O O O O
369,Maschinist stellt die Geräte bereit,O O O O O
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,O O O O O O
381,Angriffstrupp zur Brandbekämpfung mit dem Strahlrohr vor,O O O O O O O
451,Trupp zum Brandlöschen über die Wiese vor,O O O B I I O
1822,Angriffstrupp zur Personenrettung unter PA mit erster Rohr in die dritte Etage über das Treppenhaus vor,O O O O O O O O O O O O B I I O
378,Angrifftrupp zum Aufbauen vom Dekonplatz,O O O O O
357,Wassertrupp zur Schlauchhaspel,O O O
1108,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,O O O B I I I I I I I I I O O O O O O O O O
379,Angriffstrupp baut den Dekonplatz auf,O O O O O
455,Drohnenoperator zur Personensuche mit UAV in die Halle über die rechte Seite vor,O O O O O O O O B I I I O
375,Wassertrupp stellt die Wasserversorgung bereit,O O O O O
802,und von dort geradeaus weiter auf die Person zufahren,O B I I I O O O O
184,UGV 1 versuch noch in hochsweite ein bisschen nähere Ergebnisse zu kriegen,O O O O O O O O O O O O
452,Angrifftrupp tritt über das Haupttor ein,O O B I I O
484,Operator Boden 1 fahren Sie nach links,O O O O O B I
334,ja schick ich jetzt den Angriff dorthin zum Lesen aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,O O O O O O O O O O O O O O O O O O O O O O
370,Maschinist zur Unterstützung beim Aufbau der Wasserversorgung vor,O O O O O O O O
446,D5 fliegt über die Straße und macht Fotos von linker Seite,O O B I I O O O B I I
383,Wassertrupp erzeugt mit dem Zumischer den Löschschaum,O O O O O O O
1455,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab kommen,O O O O B I I O O O O O O O O O O
372,Angriffsttrupp zur Menschenrettung vor,O O O O
1138,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,O O O O O O O O O O B I I I I I I I I I I I I I I I I I I I I I I I I I I I
420,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O O O O O O B I I O
47,kommst du näher an das blaue Fass dass wir eine Erkennung haben,O O O O O O O O O O O O
376,Wassertrupp sichert die Einsatzstelle gegenüber dem Verkehr,O O O O O O O
1705,dann müsst ihr euch von da aus in östlicher Richtung bewegen,O O O O O O O B I I O
1873,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,O O O B I I I I O O O O O O O O O O O O O O O O O O O O O
449,Sie gehen ins Gebäude durch den Vordereingang,O O O O B I I
