id,tokens,tags
384,Wassertrupp zum Kuppeln von Saugleitung vor,O O O O O O
478,Boden 1 nach rechts,O O B I
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O O O O O O O O O O O O B I I O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O O O O O O O O O O O
371,Maschinist zur Atemschutzüberwachung vor,O O O O
953,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,O O O O O O O O O O O B I I O O O O O O O O O O O
454,D 4 zur Erkundung mit Infrarotkamera ins Gebäude durch das Tor vor,O O O O O O O O B I I O
422,Angriffstrupp zur Menschenrettung mit Pressluftatmern und 1 Rohr ins Wohnzimmer durch den Hauseingang vor,O O O O O O O O O O B I I O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,O O O O O O O O B I I O O O
88,UGV 1 aber warten,O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O O O O O O B I I O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,O O O O O O O O B I I O
1722,ihr setzt die Erkundung in östlicher Richtung weiter fort,O O O O B I I O O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O O O O O O O B I I O
314,kann man von oben vielleicht mir ein Foto schicken,O O B I O O O O O
1459,ihr nehmt aber die westliche Richtung,O O O B I I
374,Maschinist zur Bedienung von Stromerzeuger und Ausleuchten der Einsatzstelle bei Nacht vor,O O O O O O O O O O O O
84,UGV 1 damit warten,O O O O
369,Maschinist stellt die Geräte bereit,O O O O O
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,O O O O O O
381,Angriffstrupp zur Brandbekämpfung mit dem Strahlrohr vor,O O O O O O O
451,Trupp zum Brandlöschen über die Wiese vor,O O O B I I O
1822,Angriffstrupp zur Personenrettung unter PA mit erster Rohr in die dritte Etage über das Treppenhaus vor,O O O O O O O O O O O O B I I O
378,Angrifftrupp zum Aufbauen vom Dekonplatz,O O O O O
357,Wassertrupp zur Schlauchhaspel,O O O
1108,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,O O O B I I I I I I I I I O O O O O O O O O
379,Angriffstrupp baut den Dekonplatz auf,O O O O O
455,Drohnenoperator zur Personensuche mit UAV in die Halle über die rechte Seite vor,O O O O O O O O B I I I O
375,Wassertrupp stellt die Wasserversorgung bereit,O O O O O
802,und von dort geradeaus weiter auf die Person zufahren,O B I I I O O O O
