id,tokens,tags
377,Wassertrupp sperrt den Gefahrenbereich ab,O O O O O
407,Trupp fällt die Bäume mit der Motorkettensäge,O O O O O O O
448,Zum Transport der Verletzten hinter dem Gabelstepler,O O O O B I I
410,Sie trennen die Türpfosten am Fahrzeug mit dem Schneidgerät,O O O O O O O O O
359,Mit dem Schlauchhaspel den Verbindungsschlauch vom Hydrant zur Beregnungsmaschine verlegen,O O O O O O O B I O
454,D 4 zur Erkundung mit Infrarotkamera ins Gebäude durch das Tor vor,O O O O O O B I O O O O
88,UGV 1 aber warten,O O O O
1390,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,O O B I I O O O O
482,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft suchen Sie nach möglichen Rauchentwicklungen konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
459,D5 macht den Überblick und die Fotos im inneren Bereich,O O O O O O O B I I
453,Gruppenführer Erkundung mit dem D fünf im Inneren der Halle,O O O O O O B I I I
1384,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,O O O O B I I O O O O O O O
381,Angriffstrupp zur Brandbekämpfung mit dem Strahlrohr vor,O O O O O O O
449,Sie gehen ins Gebäude durch den Vordereingang,O O B I O O O
435,Sie ziehen es raus mit dem Rettungszylinder,O O O O O O O
442,D4 macht die Bilder in der Lagerhalle innen und außen,O O O O B I I I I I
457,D2 schließt den Container mit dem Arm,O O O O O O O
375,Wassertrupp stellt die Wasserversorgung bereit,O O O O O
458,D 3 zum Transport in die Halle vor,O O O O B I I O
1030,Lena jetzt sag mir mal genau den Standort dieser Person,O O O O O O O O O O
396,Angriffstrupp zum Herunterreißen von Decken mit dem Einreißhaken,O O O O O O O O
1511,ja fahr mal rein,O O O B
391,Schlauchtrupp zur Löschwasserentnahme durch Überflurhydrant vor,O O O O O O
445,D3 geht Richtung Osten,O O B I
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O B I I I I I I O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O O O O B I I O O O O
1262,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,O O O O O O O O O O O O O B I I O
1229,Drohnenoperator starten Sie und über  machen Sie sich einen Überblick über die Lage,O O O O O O O O O O O O O O
801,Roboter 1 können Sie den Standort nochmal anfahren,O O O O B I O O
418,Gruppenführer Erkundung mit dem D3 im Inneren der Lagerhalle,O O O O O B I I I
440,D1 fliegt zum roten PKW,O O B I I
2660,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,O O O O O O O O B I I O
444,D2 bewegt sich Richtung Norden,O O O B I
1422,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,O O O O O O O O O O O O O O O B I O O
1332,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,O O O O O O O B I I O O O O O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O O O O O O O B I I O
371,Maschinist zur Atemschutzüberwachung vor,O O O O
257,könnt ihr was erkunden was da in lauter Rauch steht,O O O O O O O O O O
430,UGV Operator erkundet den Gefahrenbereich im zweiten Stock,O O O O O B I I
964,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,B O O O O O O O O O
338,schicken Sie mir das Foto,O O O O O
